run_id,group,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45395.master_ubss1,IVF-E,ivf-mpi-3-3,8,2,2,8,16,512,64,10,2000,block-id,1,0.990550,1393.811345,3.716111,734.660134,967.589021,48.254609,1.487136,15384.605000,12500,12500.000000,12500,1.000000,2791.411877,716.483302
45396.master_ubss1,IVF-E,ivf-mpi-3-3,8,2,2,8,16,512,64,10,2000,block-id,1,0.990550,1642.441273,3.558993,682.723492,740.799308,271.414161,1.508236,15384.605000,12500,12500.000000,12500,1.000000,3288.656235,608.151128
45397.master_ubss1,IVF-E,ivf-mpi-3-3,8,2,2,8,16,512,64,10,2000,block-id,1,0.990550,1410.351634,3.640771,741.909370,973.793745,32.834053,1.510859,15384.605000,12500,12500.000000,12500,1.000000,2824.797153,708.015440
45398.master_ubss1,IVF-E,ivf-mpi-3-3,8,2,2,8,16,512,64,10,2000,block-id,1,0.990550,1415.466189,4.199982,743.981585,979.528189,37.279129,1.542449,15384.605000,12500,12500.000000,12500,1.000000,2835.437775,705.358452
45399.master_ubss1,IVF-E,ivf-mpi-3-3,4,4,2,8,16,512,64,10,2000,block-id,1,0.990550,1709.516048,3.023624,842.759877,1283.213019,559.868336,1.229644,15384.605000,25000,25000.000000,25000,1.000000,3423.516512,584.194641
45400.master_ubss1,IVF-E,ivf-mpi-3-3,4,4,2,8,16,512,64,10,2000,block-id,1,0.990550,1785.070777,3.117085,860.957861,1353.456497,713.323593,1.190186,15384.605000,25000,25000.000000,25000,1.000000,3574.619770,559.500067
45401.master_ubss1,IVF-E,ivf-mpi-3-3,4,4,2,8,16,512,64,10,2000,block-id,1,0.990550,1775.895596,3.039598,875.495523,1311.229229,579.081774,1.201034,15384.605000,25000,25000.000000,25000,1.000000,3556.257010,562.389050
45402.master_ubss1,IVF-E,ivf-mpi-3-3,2,8,2,8,16,512,64,10,2000,block-id,1,0.990550,1930.018544,2.776384,1084.044874,1278.440952,257.831454,0.921965,15384.605000,50000,50000.000000,50000,1.000000,3865.028858,517.460561
45403.master_ubss1,IVF-E,ivf-mpi-3-3,2,8,2,8,16,512,64,10,2000,block-id,1,0.990550,1887.599707,2.287388,1078.564823,1259.081841,208.373785,0.867128,15384.605000,50000,50000.000000,50000,1.000000,3779.690504,529.143854
45404.master_ubss1,IVF-E,ivf-mpi-3-3,2,8,2,8,16,512,64,10,2000,block-id,1,0.990550,1947.505355,2.330422,1082.098663,1274.861932,201.776385,0.921607,15384.605000,50000,50000.000000,50000,1.000000,3899.562120,512.878097
45405.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,185.520291,1.869917,114.638686,139.987350,36.449671,1.438022,15384.605000,12500,12500.000000,12500,1.000000,374.374628,5342.242369
45406.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,183.273315,2.428651,114.360958,133.427382,30.366540,1.459002,15384.605000,12500,12500.000000,12500,1.000000,369.747877,5409.091231
45407.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,165.710211,2.773046,103.216812,114.926696,22.029757,1.381397,15384.605000,12500,12500.000000,12500,1.000000,334.677219,5975.907185
45408.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,177.790403,2.861023,104.797289,124.989033,36.959291,1.368642,15384.605000,12500,12500.000000,12500,1.000000,358.836651,5573.566678
45409.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,contiguous-list,1,0.990550,240.984917,2.136588,107.775435,194.980383,91.764212,1.389384,15384.605000,8936,12500.000000,14774,1.181920,485.372543,4120.546223
45410.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,contiguous-list,1,0.990550,224.750757,2.694964,99.378914,177.477121,80.079675,1.366496,15384.605000,8936,12500.000000,14774,1.181920,452.739239,4417.553923
45411.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,contiguous-list,1,0.990550,241.329789,3.721833,104.608774,186.324239,73.697925,1.395702,15384.605000,8936,12500.000000,14774,1.181920,486.113548,4114.265087
45412.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,greedy-list,1,0.990550,227.749586,2.478957,101.064369,179.784179,75.125217,1.423836,15384.605000,12496,12500.000000,12504,1.000320,458.798885,4359.208498
45413.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,greedy-list,1,0.990550,217.244983,2.006769,100.009978,168.984532,78.886032,1.369953,15384.605000,12496,12500.000000,12504,1.000320,437.735796,4568.966071
45414.master_ubss1,IVF-F,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,greedy-list,1,0.990550,223.696351,3.092289,101.935446,173.738480,71.759105,1.437545,15384.605000,12496,12500.000000,12504,1.000320,450.605392,4438.473293
