run_id,group,algorithm,np,threads,nodes,ppn,total_cores,M,efConstruction,efSearch,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,build_avg_ms,build_max_ms,batch_time_ms,qps
45518.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,100,100,10,2000,block-id,1,0.998100,229.975462,1.257062,208.795846,220.290303,12.106895,1.254916,40.000000,25000,25000.000000,25000,1.000000,29.986799,31.343937,464.147806,4308.972214
45519.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,240.046144,1.270533,216.181815,230.440855,11.420369,1.258731,40.000000,25000,25000.000000,25000,1.000000,30.493796,31.278372,484.271288,4129.916536
45520.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,238.123417,1.391172,214.993834,228.248835,26.137233,1.253486,40.000000,25000,25000.000000,25000,1.000000,30.118465,31.046867,480.470181,4162.589233
45521.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,238.764882,1.324773,214.499295,229.653955,32.106757,1.232862,40.000000,25000,25000.000000,25000,1.000000,30.003428,31.135559,481.673002,4152.194519
45522.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,200,100,10,2000,block-id,0,0.998850,248.727560,1.463294,223.326355,239.809632,35.970211,1.218557,40.000000,25000,25000.000000,25000,1.000000,8100.842953,8522.693157,501.585245,3987.358120
45524.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,200,100,10,2000,block-id,0,0.998850,262.402892,1.121402,233.454257,251.796961,39.823651,1.196980,40.000000,25000,25000.000000,25000,1.000000,8309.806168,8979.440689,529.040098,3780.431780
45525.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,200,100,10,2000,block-id,1,0.998850,253.228188,1.316309,220.147878,242.628336,42.974234,1.219749,40.000000,25000,25000.000000,25000,1.000000,31.256139,33.091545,510.699987,3916.193556
45526.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,24,150,100,10,2000,block-id,0,0.999350,282.437444,1.261115,250.947744,271.879792,29.005051,1.255393,40.000000,25000,25000.000000,25000,1.000000,7040.189981,7298.596859,569.265366,3513.299984
45527.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,24,150,100,10,2000,block-id,1,0.999350,293.314815,1.347661,250.631988,284.953594,38.489699,1.308799,40.000000,25000,25000.000000,25000,1.000000,31.603694,33.246517,591.090441,3383.576966
45528.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,24,150,100,10,2000,block-id,1,0.999350,276.707172,1.435280,253.290951,266.125202,16.520381,1.319289,40.000000,25000,25000.000000,25000,1.000000,29.605329,31.276226,557.838440,3585.267448
